Title,Album,Era,Lead vocal,Highest chart position,Words in Title,Cover,
While My Guitar Gently Weeps,White Album,Late Beatles (1968-1970),George,100+,5,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Dear Prudence,White Album,Late Beatles (1968-1970),John,100+,2,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Everybody's Got Something to Hide Except Me and My Monkey,White Album,Late Beatles (1968-1970),John,100+,10,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Glass Onion,White Album,Late Beatles (1968-1970),John,100+,2,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Happiness Is a Warm Gun,White Album,Late Beatles (1968-1970),John,100+,5,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
I'm So Tired,White Album,Late Beatles (1968-1970),John,100+,3,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Julia,White Album,Late Beatles (1968-1970),John,100+,1,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Revolution 1,White Album,Late Beatles (1968-1970),John,100+,2,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Sexy Sadie,White Album,Late Beatles (1968-1970),John,100+,2,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
The Continuing Story of Bungalow Bill,White Album,Late Beatles (1968-1970),John,100+,6,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Yer Blues,White Album,Late Beatles (1968-1970),John,100+,2,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Birthday,White Album,Late Beatles (1968-1970),"John, Paul",100+,1,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Cry Baby Cry,White Album,Late Beatles (1968-1970),"John, Paul",100+,3,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Revolution 9,White Album,Late Beatles (1968-1970),N/A,100+,2,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Back in the U.S.S.R.,White Album,Late Beatles (1968-1970),Paul,100+,4,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Blackbird,White Album,Late Beatles (1968-1970),Paul,100+,1,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Helter Skelter,White Album,Late Beatles (1968-1970),Paul,100+,2,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Honey Pie,White Album,Late Beatles (1968-1970),Paul,100+,2,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
I Will,White Album,Late Beatles (1968-1970),Paul,100+,2,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Martha My Dear,White Album,Late Beatles (1968-1970),Paul,100+,3,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Mother Nature's Son,White Album,Late Beatles (1968-1970),Paul,100+,3,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
"Ob-La-Di, Ob-La-Da",White Album,Late Beatles (1968-1970),Paul,48,2,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Rocky Raccoon,White Album,Late Beatles (1968-1970),Paul,100+,2,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Why Don't We Do It in the Road?,White Album,Late Beatles (1968-1970),Paul,100+,8,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Wild Honey Pie,White Album,Late Beatles (1968-1970),Paul,100+,3,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Don't Pass Me By,White Album,Late Beatles (1968-1970),Ringo,100+,4,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Good Night,White Album,Late Beatles (1968-1970),Ringo,100+,2,0,https://upload.wikimedia.org/wikipedia/commons/2/20/TheBeatles68LP.jpg
Devil in Her Heart,With The Beatles,Beatlemania (1963-1965),George,100+,4,1​,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
Roll Over Beethoven,With The Beatles,Beatlemania (1963-1965),George,68,3,1​,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
Don't Bother Me,With The Beatles,Beatlemania (1963-1965),George,100+,3,0,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
Money (That's What I Want),With The Beatles,Beatlemania (1963-1965),John,100+,5,1​,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
Please Mr. Postman,With The Beatles,Beatlemania (1963-1965),John,100+,3,1​,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
You've Really Got a Hold on Me,With The Beatles,Beatlemania (1963-1965),John,100+,7,1​,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
All I've Got to Do,With The Beatles,Beatlemania (1963-1965),John,100+,5,0,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
It Won't Be Long,With The Beatles,Beatlemania (1963-1965),John,100+,4,0,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
Not a Second Time,With The Beatles,Beatlemania (1963-1965),John,100+,4,0,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
Little Child,With The Beatles,Beatlemania (1963-1965),"John, Paul",100+,2,0,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
I Wanna Be Your Man,With The Beatles,Beatlemania (1963-1965),"John, Paul, Ringo",100+,5,0,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
Till There Was You,With The Beatles,Beatlemania (1963-1965),Paul,100+,4,1​,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
All My Loving,With The Beatles,Beatlemania (1963-1965),Paul,45,3,0,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
Hold Me Tight,With The Beatles,Beatlemania (1963-1965),Paul,100+,3,0,https://upload.wikimedia.org/wikipedia/en/5/52/With_the_Beatles.png
It's All Too Much,Yellow Submarine,Studio (1966-1967),George,100+,4,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
Only a Northern Song,Yellow Submarine,Studio (1966-1967),George,100+,4,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
Hey Bulldog,Yellow Submarine,Late Beatles (1968-1970),John,100+,2,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
All Together Now,Yellow Submarine,Studio (1966-1967),"John, Paul",100+,3,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
March of the Meanies,Yellow Submarine,Studio (1966-1967),N/A,100+,4,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
Pepperland,Yellow Submarine,Studio (1966-1967),N/A,100+,1,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
Pepperland Laid Waste,Yellow Submarine,Studio (1966-1967),N/A,100+,3,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
Sea of Holes,Yellow Submarine,Studio (1966-1967),N/A,100+,3,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
Sea of Monsters,Yellow Submarine,Studio (1966-1967),N/A,100+,3,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
Sea of Time,Yellow Submarine,Studio (1966-1967),N/A,100+,3,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
Yellow Submarine in Pepperland,Yellow Submarine,Studio (1966-1967),N/A,100+,4,0,https://upload.wikimedia.org/wikipedia/commons/a/ac/TheBeatles-YellowSubmarinealbumcover.jpg
